observed_label,source,normalized_observed_label,canonical_tree_label,mapping_status,mapping_strategy,confidence_tier,lineage_path
hemogenic endothelial progenitor,Tyser,hemogenic endothelial progenitor,Hematopoietic Cell,mapped,manual_override,medium,Epiblast → Primitive Streak → Mesoderm → Hematopoietic Mesoderm → Hematopoietic Cell
Immature Cardiomyocyte (Immat_CM),Lázár,immature cardiomyocyte,Cardiac Muscle Cell,mapped,manual_override,medium,Epiblast → Primitive Streak → Mesoderm → Cardiogenic Mesoderm → Cardiomyocyte Lineage → Cardiac Muscle Cell
innate lymphoid cell*,CXG,innate lymphoid cell,Innate Lymphoid Cell,mapped,exact_tree_alias,high,Epiblast → Primitive Streak → Mesoderm → Hematopoietic Mesoderm → Innate Lymphoid Cell
Interstitial Fibroblast (Int_FB),Lázár,interstitial fibroblast,Fibroblast,mapped,manual_override,medium,Epiblast → Primitive Streak → Mesoderm → Cardiogenic Mesoderm → Mesenchymal and Stromal Lineage → Fibroblast
leukocyte*,CXG,leukocyte,Leukocyte,mapped,exact_tree_alias,high,Epiblast → Primitive Streak → Mesoderm → Hematopoietic Mesoderm → Hematopoietic Cell → Leukocyte
macrophage*,CXG,macrophage,Macrophage,mapped,exact_tree_alias,high,Epiblast → Primitive Streak → Mesoderm → Hematopoietic Mesoderm → Hematopoietic Cell → Monocyte → Macrophage
Mature Atrial Cardiomyocyte (Mat_aCM),Lázár,mature atrial cardiomyocyte,Regular Atrial Cardiac Myocyte,mapped,manual_override,medium,Epiblast → Primitive Streak → Mesoderm → Cardiogenic Mesoderm → Cardiomyocyte Lineage → Cardiac Muscle Cell → Regular Atrial Cardiac Myocyte
Mature Ventricular Cardiomyocyte (Mat_vCM),Lázár,mature ventricular cardiomyocyte,Ventricular Cardiomyocytes,mapped,manual_override,medium,Epiblast → Primitive Streak → Mesoderm → Cardiogenic Mesoderm → Cardiomyocyte Lineage → Cardiac Muscle Cell → Ventricular Cardiomyocytes
megakaryocyte,CXG,megakaryocyte,Hematopoietic Cell,mapped,manual_override,medium,Epiblast → Primitive Streak → Mesoderm → Hematopoietic Mesoderm → Hematopoietic Cell
mesenchymal stem cell*,CXG,mesenchymal stem cell,Mesenchymal Stem Cell,mapped,exact_tree_alias,high,Epiblast → Primitive Streak → Mesoderm → Cardiogenic Mesoderm → Mesenchymal and Stromal Lineage → Mesenchymal Stem Cell
mesothelial cell of epicardium*,CXG,mesothelial cell of epicardium,Mesothelial Cell of Epicardium,mapped,exact_tree_alias,high,Epiblast → Primitive Streak → Mesoderm → Splanchnic Mesoderm → Proepicardial Organ → Epicardium → Mesothelial Cell of Epicardium
Metabolically Active Atrial Cardiomyocyte (MetAct_aCM),Lázár,metabolically active atrial cardiomyocyte,Regular Atrial Cardiac Myocyte,mapped,manual_override,medium,Epiblast → Primitive Streak → Mesoderm → Cardiogenic Mesoderm → Cardiomyocyte Lineage → Cardiac Muscle Cell → Regular Atrial Cardiac Myocyte
Metabolically Active Ventricular Cardiomyocyte 1 (MetAct_vCM_1),Lázár,metabolically active ventricular cardiomyocyte 1,Ventricular Cardiomyocytes,mapped,manual_override,medium,Epiblast → Primitive Streak → Mesoderm → Cardiogenic Mesoderm → Cardiomyocyte Lineage → Cardiac Muscle Cell → Ventricular Cardiomyocytes
Metabolically Active Ventricular Cardiomyocyte 2 (MetAct_vCM_2),Lázár,metabolically active ventricular cardiomyocyte 2,Ventricular Cardiomyocytes,mapped,manual_override,medium,Epiblast → Primitive Streak → Mesoderm → Cardiogenic Mesoderm → Cardiomyocyte Lineage → Cardiac Muscle Cell → Ventricular Cardiomyocytes
Microvascular Endothelial Cell (MicroVasc_EC),Lázár,microvascular endothelial cell,Capillary Endothelial Cell,mapped,manual_override,medium,Epiblast → Primitive Streak → Mesoderm → Splanchnic Mesoderm → Vascular Endothelial Cell → Capillary Endothelial Cell
monocyte*,CXG,monocyte,Monocyte,mapped,exact_tree_alias,high,Epiblast → Primitive Streak → Mesoderm → Hematopoietic Mesoderm → Hematopoietic Cell → Monocyte
myeloid cell*,CXG,myeloid cell,Myeloid Cell,mapped,exact_tree_alias,high,Epiblast → Primitive Streak → Mesoderm → Hematopoietic Mesoderm → Hematopoietic Cell → Myeloid Cell
Myeloid Cell* (MyC),Lázár,myeloid cell,Myeloid Cell,mapped,exact_tree_alias,high,Epiblast → Primitive Streak → Mesoderm → Hematopoietic Mesoderm → Hematopoietic Cell → Myeloid Cell
nascent mesoderm,Tyser,nascent mesoderm,Mesoderm,mapped,manual_override,medium,Epiblast → Primitive Streak → Mesoderm
neural cell*,CXG,neural cell,Neural Cell,mapped,exact_tree_alias,high,Epiblast → Ectoderm → Neural Lineage → Neural Cell
neuron*,CXG,neuron,Neuron,mapped,exact_tree_alias,high,Epiblast → Ectoderm → Neural Lineage → Neuron
neutrophil*,CXG,neutrophil,Neutrophil,mapped,exact_tree_alias,high,Epiblast → Primitive Streak → Mesoderm → Hematopoietic Mesoderm → Hematopoietic Cell → Neutrophil
Outflow Tract Fibroblast (OFT_FB),Lázár,outflow tract fibroblast,Fibroblast,mapped,manual_override,medium,Epiblast → Primitive Streak → Mesoderm → Cardiogenic Mesoderm → Mesenchymal and Stromal Lineage → Fibroblast
Outflow Tract Smooth Muscle Cell* (OFT_SMC),Lázár,outflow tract smooth muscle cell,Outflow Tract Smooth Muscle Cell,mapped,exact_tree_alias,high,Epiblast → Ectoderm → Neural Crest → Cardiac Neural Crest Cell → Outflow Tract Smooth Muscle Cell
pericyte (myocardium),Xu,pericyte,Pericyte,mapped,exact_tree_alias,high,Epiblast → Primitive Streak → Mesoderm → Splanchnic Mesoderm → Proepicardial Organ → Epicardium → Epicardium Derived Cell → Pericyte
pericyte*,CXG,pericyte,Pericyte,mapped,exact_tree_alias,high,Epiblast → Primitive Streak → Mesoderm → Splanchnic Mesoderm → Proepicardial Organ → Epicardium → Epicardium Derived Cell → Pericyte
Pericyte* (PC),Lázár,pericyte,Pericyte,mapped,exact_tree_alias,high,Epiblast → Primitive Streak → Mesoderm → Splanchnic Mesoderm → Proepicardial Organ → Epicardium → Epicardium Derived Cell → Pericyte
Pericyte-like Mesenchymal Cell / Pericyte* (Peric_MC),Lázár,pericyte like mesenchymal cell pericyte,Pericyte,mapped,manual_override,medium,Epiblast → Primitive Streak → Mesoderm → Splanchnic Mesoderm → Proepicardial Organ → Epicardium → Epicardium Derived Cell → Pericyte
primitive streak,Tyser,primitive streak,Primitive Streak,mapped,manual_override,medium,Epiblast → Primitive Streak
primordial germ cell,CXG,primordial germ cell,UNMAPPED,unmapped,unmapped,none,
professional antigen presenting cell*,CXG,professional antigen presenting cell,Professional Antigen Presenting Cell,mapped,exact_tree_alias,high,Epiblast → Primitive Streak → Mesoderm → Hematopoietic Mesoderm → Professional Antigen Presenting Cell
Proliferating Cardiomyocyte (Prol_CM),Lázár,proliferating cardiomyocyte,Cardiac Muscle Cell,mapped,manual_override,medium,Epiblast → Primitive Streak → Mesoderm → Cardiogenic Mesoderm → Cardiomyocyte Lineage → Cardiac Muscle Cell
regular atrial cardiac myocyte*,CXG,regular atrial cardiac myocyte,Regular Atrial Cardiac Myocyte,mapped,exact_tree_alias,high,Epiblast → Primitive Streak → Mesoderm → Cardiogenic Mesoderm → Cardiomyocyte Lineage → Cardiac Muscle Cell → Regular Atrial Cardiac Myocyte
Schwann cell*,CXG,schwann cell,Schwann Cell,mapped,exact_tree_alias,high,Epiblast → Ectoderm → Neural Lineage → Schwann Cell
Second heart field (SHF),Xu,second heart field,Cardiogenic Mesoderm,mapped,manual_override,medium,Epiblast → Primitive Streak → Mesoderm → Cardiogenic Mesoderm
sinoatrial node (SAN),Xu,sinoatrial node,SA Node Pacemaker Cell,mapped,manual_override,medium,Epiblast → Primitive Streak → Mesoderm → Cardiogenic Mesoderm → Cardiomyocyte Lineage → Cardiac Muscle Cell → Regular Atrial Cardiac Myocyte → SA Node Pacemaker Cell
smooth muscle cell,CXG,smooth muscle cell,Vascular Smooth Muscle Cell,mapped,exact_tree_alias,high,Epiblast → Primitive Streak → Mesoderm → Splanchnic Mesoderm → Proepicardial Organ → Epicardium → Epicardium Derived Cell → Vascular Smooth Muscle Cell
stromal cell*,CXG,stromal cell,Stromal Cell,mapped,exact_tree_alias,high,Epiblast → Primitive Streak → Mesoderm → Cardiogenic Mesoderm → Mesenchymal and Stromal Lineage → Stromal Cell
T cell*,CXG,t cell,T Cell,mapped,exact_tree_alias,high,Epiblast → Primitive Streak → Mesoderm → Hematopoietic Mesoderm → Lymphoid Lineage → T Cell
unassigned (cluster 0),Lázár,unassigned,UNMAPPED,unmapped,manual_override,medium,
unknown,CXG,unknown,UNMAPPED,unmapped,manual_override,medium,
valve interstitial cell*,CXG,valve interstitial cell,Valve Interstitial Cell,mapped,exact_tree_alias,high,Epiblast → Primitive Streak → Mesoderm → Cardiogenic Mesoderm → Endothelial / Endocardial Lineage → Endocardial Cell → AV Canal Endocardial Cells → Endocardial Cushion → Valve Mesenchymal Cells → Valve Interstitial Cell
Valve Mesenchymal Cell (Valve_MC),Lázár,valve mesenchymal cell,Valve Mesenchymal Cells,mapped,exact_tree_alias,high,Epiblast → Primitive Streak → Mesoderm → Cardiogenic Mesoderm → Endothelial / Endocardial Lineage → Endocardial Cell → AV Canal Endocardial Cells → Endocardial Cushion → Valve Mesenchymal Cells
vein endothelial cell*,CXG,vein endothelial cell,Venous Endothelial Cell,mapped,exact_tree_alias,high,Epiblast → Primitive Streak → Mesoderm → Splanchnic Mesoderm → Vascular Endothelial Cell → Venous Endothelial Cell
ventricle cardiomyocyte,Xu,ventricle cardiomyocyte,Ventricular Cardiomyocytes,mapped,manual_override,medium,Epiblast → Primitive Streak → Mesoderm → Cardiogenic Mesoderm → Cardiomyocyte Lineage → Cardiac Muscle Cell → Ventricular Cardiomyocytes
ventricular cardiac muscle cell*,CXG,ventricular cardiac muscle cell,Ventricular Cardiomyocytes,mapped,exact_tree_alias,high,Epiblast → Primitive Streak → Mesoderm → Cardiogenic Mesoderm → Cardiomyocyte Lineage → Cardiac Muscle Cell → Ventricular Cardiomyocytes
visceromotor neuron*,CXG,visceromotor neuron,Visceromotor Neuron,mapped,exact_tree_alias,high,Epiblast → Ectoderm → Neural Lineage → Neuron → Visceromotor Neuron
yolk sac mesoderm,Tyser,yolk sac mesoderm,Mesoderm,mapped,manual_override,medium,Epiblast → Primitive Streak → Mesoderm
